500.png,1
501.png,1
502.png,1
504.png,1
505.png,1
506.png,1
507.png,1
508.png,0
509.png,0
510.png,0
511.png,0
512.png,0
515.png,0
516.png,0
518.png,0
519.png,0
523.png,0
524.png,0
527.png,0
530.png,0
534.png,0
536.png,1
537.png,1
539.png,1
543.png,0
544.png,0
549.png,0
551.png,0
555.png,1
558.png,0
559.png,0
560.png,0
567.png,0
572.png,0
573.png,0
574.png,0
577.png,0
578.png,0
579.png,0
584.png,0
585.png,0
587.png,0
589.png,1
590.png,1
592.png,1
593.png,0
594.png,0
596.png,0
597.png,0
603.png,0
604.png,0
605.png,0
606.png,0
607.png,0
608.png,0
610.png,0
612.png,1
613.png,0
617.png,0
621.png,0
623.png,0
624.png,0
627.png,0
630.png,1
631.png,1
632.png,1
633.png,0
635.png,1
638.png,0
640.png,0
641.png,1
642.png,0
643.png,0
644.png,1
648.png,0
650.png,0
651.png,1
652.png,1
655.png,1
656.png,1
661.png,1
662.png,0
663.png,0
666.png,1
668.png,1
669.png,1
670.png,1
671.png,1
672.png,1
700.png,0
701.png,0
703.png,1
704.png,1
705.png,0
706.png,0
707.png,1
709.png,1
710.png,1
711.png,1
712.png,0
713.png,0
718.png,1
722.png,0
724.png,1
727.png,0
729.png,0
730.png,0
731.png,1
732.png,1
733.png,1
734.png,0
735.png,0
736.png,1
737.png,1
738.png,1
739.png,1
740.png,1
741.png,1
742.png,0
743.png,0
745.png,0
746.png,0
747.png,0
748.png,0
749.png,0
750.png,0
751.png,0
752.png,0
753.png,0
759.png,0
761.png,1
762.png,1
763.png,1
764.png,1
768.png,1
769.png,1
770.png,1
771.png,1
772.png,1
774.png,0
775.png,0
776.png,0
777.png,0
778.png,0
780.png,1
781.png,1
784.png,1
787.png,1
788.png,0
790.png,0
791.png,0
792.png,0
793.png,1
796.png,1
797.png,1
799.png,0
800.png,0
801.png,0
802.png,0
803.png,1
805.png,1
806.png,1
807.png,1
808.png,1
809.png,1
810.png,1
811.png,0
812.png,0
817.png,0
818.png,0
819.png,0
820.png,0
821.png,0
823.png,1
824.png,1
825.png,1
826.png,1
828.png,0
829.png,0
830.png,0
831.png,0
832.png,0
833.png,0
834.png,1
835.png,1
836.png,1
837.png,1
839.png,0
840.png,0
841.png,0
843.png,0
844.png,0
845.png,0
846.png,0
847.png,0
848.png,0
850.png,1
853.png,1
854.png,0
855.png,0
856.png,0
857.png,0
859.png,1
862.png,0
863.png,1
864.png,0
866.png,0
867.png,1
868.png,1
869.png,1
870.png,1
871.png,1
872.png,1
873.png,0
874.png,0
875.png,0
877.png,1
878.png,0
879.png,0
880.png,1
881.png,1
882.png,0
883.png,1
884.png,1
885.png,0
886.png,0
887.png,0
888.png,0
890.png,1
891.png,1
892.png,1
893.png,1
894.png,1
895.png,1
899.png,0
900.png,0
901.png,1
903.png,1
906.png,0
907.png,0
908.png,0
909.png,1
910.png,1
911.png,1
912.png,0
913.png,0
914.png,0
916.png,0
918.png,0
919.png,0
920.png,0
922.png,0
923.png,0
924.png,0
925.png,0
926.png,0
927.png,0
928.png,1
929.png,1
930.png,1
931.png,0
932.png,0
933.png,1
934.png,1
935.png,1
937.png,0
940.png,1
941.png,1
942.png,1
943.png,0
944.png,0
945.png,0
946.png,0
947.png,0
948.png,1
949.png,0
950.png,1
951.png,1
952.png,0
953.png,0
954.png,0
957.png,1
958.png,1
959.png,1
962.png,1
963.png,1
964.png,1
965.png,1
966.png,1
967.png,1
968.png,1
971.png,1
972.png,1
973.png,1
974.png,1
